headline,date,comments,type
NXP Breaks Through Integration Barriers for Software-Defined Vehicle Development with Open S32 CoreRide Platform,2024-03-28,,NXPI
"NXP Publishes Annual Corporate Sustainability Report, Highlights Progress Toward Environmental, Social and Governance Goals",2024-03-19,,NXPI
NXP and NVIDIA partner on AI model deployment,2024-03-18,,NXPI
"5 big analyst AI moves: AI market is not a bubble yet, says Goldman",2024-03-17,,NXPI
Impinj and NXP Semiconductors reach settlement agreement,2024-03-13,,NXPI
Impinj and NXP Semiconductors Enter Settlement over Patent Case,2024-03-13,,NXPI
STMicroelectronics CEO says China is a growth market despite US chip war,2024-03-12,,NXPI
NXP Semiconductors announces interim dividend for Q1 2024,2024-03-07,,NXPI
NXP Semiconductors Declares $1.014 Quarterly Dividend; 1.6% Yield,2024-03-07,,NXPI
"Semiconductors a bright spot in Dutch startup landscape, report says",2024-03-06,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-28,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-27,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-07,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-07,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-07,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-07,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-07,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-07,,NXPI
Earnings call: NXP Semiconductors reports modest growth in Q4,2024-02-06,,NXPI
Earnings call: NXP Semiconductors reports modest growth in Q4,2024-02-06,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-06,,NXPI
"Midday movers: Palantir and Spotify surge, and more",2024-02-06,,NXPI
Chipmaker NXP forecasts profit above estimates on automotive strength,2024-02-05,,NXPI
No Surprises In NXP Semiconductors's (NASDAQ:NXPI) Q4 Sales Numbers But Quarterly Guidance Underwhelms,2024-02-05,,NXPI
"NXP earnings beat by $0.06, revenue topped estimates",2024-02-05,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-05,,NXPI
"After-hours movers: Palantir, NXP Semiconductors and more",2024-02-05,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-02-01,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-26,,NXPI
"After-hours movers: Netflix surges, Texas Instruments falls, and more",2024-01-23,,NXPI
"Nvidia, Western Digital and these 3 chip stocks are new top picks at Cantor",2024-01-23,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-22,,NXPI
Why Is Western Digital (WDC) Stock Rocketing Higher Today,2024-01-22,,NXPI
"Microsoft upgraded to Outperform, price target raised to $471: 4 big analyst picks",2024-01-18,,NXPI
3 chip stocks upgraded at Wolfe today,2024-01-18,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-17,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-16,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-16,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-05,,NXPI
"NXP Semiconductors (NXPI) Stock Trades Down, Here Is Why",2024-01-04,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-04,,NXPI
US chip stocks tumble after strongest year since 2009,2024-01-03,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-03,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2024-01-02,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-12-18,,NXPI
"AMD, Micron, Intel, Nvidia: BofA shuffles chip stock ratings ahead of 2024",2023-12-15,,NXPI
Fear of cheap Chinese EVs spurs automaker dash for affordable cars,2023-12-08,,NXPI
This semiconductor stock is a top pick for 2024,2023-12-06,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-12-05,,NXPI
Intel wins US appeal to overturn $2.18 billion VLSI patent verdict,2023-12-04,,NXPI
NXP Semiconductors Declares $1.014 Quarterly Dividend; 2% Yield,2023-11-16,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
Earnings call: NXP Semiconductors reports flat Q3 revenue; plans inventory boost and share repurchases for 2024,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-08,,NXPI
Luxury EV name Lucid slashed on cooling production guidance: 4 big analyst cuts,2023-11-08,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-07,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-07,,NXPI
NXP fourth-quarter guidance tops estimates amid auto unit resilience,2023-11-07,,NXPI
NXP Semiconductors Expands S32 Platform with Motor Control Solution for Software-Defined Vehicle Edge Nodes,2023-11-07,,NXPI
"German cartel office approves Bosch, Infineon, and NXP's stakes in TSMC's ESMC plant",2023-11-07,,NXPI
NXP Semiconductors (NASDAQ:NXPI) Beats Q3 Sales Targets But Quarterly Guidance Underwhelms,2023-11-06,,NXPI
"Chipmaker NXP forecasts profit above estimates on resilient auto, industrial",2023-11-06,,NXPI
"NXP earnings beat by $0.09, revenue topped estimates",2023-11-06,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-02,,NXPI
NXP and Zendar Partner over Development of High-Resolution Radar,2023-11-02,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-01,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-10-24,,NXPI
Goldman says investors will want to own this type of stocks in environment of high rates,2023-10-23,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-10-11,,NXPI
NXP Semiconductors Embraces EU’s IPCEI ME/CT to Expand Research and Development,2023-09-19,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-09-11,,NXPI
AMD/Intel guidance comments and other top takeaways from Goldman's tech conference,2023-09-11,,NXPI
"NXP earnings beat by $0.09, revenue topped estimates",2023-11-06,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-02,,NXPI
NXP and Zendar Partner over Development of High-Resolution Radar,2023-11-02,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-11-01,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-10-24,,NXPI
Goldman says investors will want to own this type of stocks in environment of high rates,2023-10-23,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-10-11,,NXPI
NXP Semiconductors Embraces EU’s IPCEI ME/CT to Expand Research and Development,2023-09-19,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-09-11,,NXPI
AMD/Intel guidance comments and other top takeaways from Goldman's tech conference,2023-09-11,,NXPI
Factbox-What are global companies saying about China's economy?,2023-08-31,,NXPI
"Citi sees risk to consensus estimates for AMD, Intel, and these 3 other chip stocks",2023-08-28,,NXPI
NXP Semiconductors Declares $1.014 Quarterly Dividend; 2.1% Yield,2023-08-24,,NXPI
Volkswagen strikes direct supply deals for chips to avoid global shortage,2023-08-23,,NXPI
Analog Devices says working to restore supply-demand balance after weak forecast,2023-08-23,,NXPI
"TSMC , Bosch, Infineon, and NXP Establish JV to Bring Advanced Semiconductor Manufacturing to Europe",2023-08-08,,NXPI
What are global companies saying about China's economy?,2023-08-02,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-08-01,,NXPI
On Semiconductor forecasts robust Q3 revenue on silicon carbide strength,2023-07-31,,NXPI
What are global companies saying about China's economy?,2023-07-28,,NXPI
What are global companies saying about China's economy?,2023-07-27,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-26,,NXPI
Stock market today: Dow extends win streak as tech shines ahead of earnings,2023-07-25,,NXPI
"S&P 500 rises on tech strength ahead of Microsoft, Alphabet Results",2023-07-25,,NXPI
Factbox-What are global companies saying about China's economy?,2023-07-25,,NXPI
"After-hours movers: F5 Networks gains following earnings, Cadence Design falls",2023-07-24,,NXPI
NXP Semiconductors delivers upbeat outlook as Q2 results top estimates,2023-07-24,,NXPI
"NXP earnings beat by $0.15, revenue topped estimates",2023-07-24,,NXPI
NXP forecasts third quarter above estimates on steady automotive demand,2023-07-24,,NXPI
This car company made it on to Citi's top AI stocks list and it is not Tesla,2023-07-24,,NXPI
Dow futures higher; earnings and Fed decision in focus,2023-07-24,,NXPI
"Marketmind: Euro biz ebbs, China property and rate peaks?",2023-07-24,,NXPI
Marketmind: Markets bide time as policymakers plot next moves,2023-07-24,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-21,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-20,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-20,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-20,,NXPI
China's sagging economy looms over quarterly results around the world,2023-07-20,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-19,,NXPI
NXP Semiconductors NV receives Investment Bank Analyst Rating Update,2023-07-19,,NXPI
Stellantis secures $11.2B in semiconductor chip contracts,2023-07-18,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-18,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-07-17,,NXPI
Impinj Wins Patent Infringement Lawsuits Against NXP Semiconductors ; Jury Awards $18M,2023-07-17,,NXPI
Factbox-Companies respond to China's curbs on gallium and germanium exports,2023-07-07,,NXPI
VW ready to deal with China metal curbs; chipmakers play down fallout,2023-07-06,,NXPI
"China's chipmaking export curbs 'just a start', Beijing adviser warns before Yellen visit",2023-07-05,,NXPI
These 6 semiconductor companies will feel the pinch of China's rare earth limits,2023-07-05,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-06-21,,NXPI
NXP Semiconductors Declares $1.014 Quarterly Dividend; 2.4% Yield,2023-05-25,,NXPI
NXP Semiconductors Announces Board Changes,2023-05-24,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-05-03,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-05-03,,NXPI
"TSMC, partners plan to invest up to $11 billion in German fabrication plant -Bloomberg News",2023-05-03,,NXPI
NXP Semiconductors receives Investment Bank Analyst Rating Update,2023-05-02,,NXPI
Nio collaborates with NXP to leverage 4D imaging radar,2023-05-02,,NXPI
"Midday movers: PacWest Bancorp, Chegg, Uber Technologies and more",2023-05-02,,NXPI
NXP and NIO Collaborate on 4D Imaging Radar Deployment,2023-05-02,,NXPI
"After-hours movers: Chegg plunges on guidance, NXP gains on results",2023-05-01,,NXPI
NXP Semiconductors reports upbeat guidance after Q1 results beat estimates,2023-05-01,,NXPI
"NXP earnings beat by $0.17, revenue topped estimates",2023-05-01,,NXPI
